,masked_other_tab_click,masked_shop_click_from_search,shop_L180D_order,shop_follower_number,masked_item_impression,Score
15325,190.0,252.52631580000002,3668,1464,1350709504.0,61261995.71157503
103280,69.0,1.0,9726,2001,1350709504.0,61263011.37709664
64509,476.0,1.0,405,1995,1357185600.0,61555292.15126921
63513,663.0,25.0,6892,7194,1359175689.0,61647481.96350904
105067,828.0,9.0,24546,8922,1362864889.0,61818163.5490014
74041,2379.0,16.0,17747,19767,1372628401.0,62261975.87534274
78185,432.0,53.10526316,405,1311,1403551296.0,63658091.93941596
4735,223.0,9.0,42031,24051,1421591616.0,64486571.544432536
41993,201.0,105.26315790000001,405,4665,1441720900.0,65389643.99884566
35884,641.0,4.0,56071,12198,1443620025.0,65486615.07965007
59750,575.0,1.0,13730,6684,1444912144.0,65537101.76595794
81757,256.0,4.0,49610,19827,1462144644.0,66326576.69744562
50671,410.0,14.57894737,9986,1824,1473638544.0,66838588.069723375
54078,443.0,10.31578947,13730,35892,1496529225.0,67882193.62598936
103463,377.0,4.0,5280,1344,1500632644.0,68062000.57804021
11375,146.0,7.368421053,4877,1455,1508157225.0,68403124.72190012
96886,355.0,9.0,32190,16887,1519830225.0,68939510.39736752
7865,1422.0,225.0,12573,13779,1547320896.0,70183014.84594971
12762,432.0,9.0,8621,17247,1560645025.0,70786661.07628505
33789,366.0,2433.631579,35427,4095,1565547489.0,71012320.11904378
17667,487.0,2433.631579,405,1218,1565864041.0,71020272.54036242
96231,333.0,628.2631579,13535,16311,1583642025.0,71830497.02473772
58225,366.0,4.0,405,1992,1601760484.0,72647865.99973926
9688,69.0,4.0,9999,1452,1629898384.0,73925510.13214438
33577,212.0,1.0,52691,7662,1665292864.0,75539121.87065804
81949,322.0,254.3684211,10389,7401,1667905600.0,75650373.96722779
50713,542.0,1.0,13262,3885,1688305921.0,76575668.32766213
67572,223.0,2446.684211,14718,4512,1690607689.0,76680807.9273483
32378,366.0,9.0,23012,9519,1705855204.0,77374008.70786017
15121,465.0,2540.2105260000003,17396,8295,1706846596.0,77418431.33554523
58848,278.0,1.0,13067,6018,1718682849.0,77953556.70782538
106364,146.0,38.10526316,405,2643,1729894464.0,78459349.3332303
48767,245.0,155.7894737,405,3579,1845991225.0,83725080.97685586
28802,212.0,36.0,3226,1608,1849946121.0,83904626.94408283
46546,322.0,221.5789474,405,1758,1877142276.0,85137720.84129386
64574,509.0,221.5789474,405,3213,1878789025.0,85212690.22778937
59366,333.0,256.4736842,15498,6084,1910214436.0,86640923.03670178
9417,300.0,1.0,19710,23535,1970738449.0,89389060.100561
104066,1741.0,5184.0,29135,9072,2007756864.0,91069384.82115243
45701,201.0,1.0,35401,8865,2030493721.0,92099870.10551628
42210,685.0,1.0,405,2256,2069067169.0,93842590.34862703
55692,751.0,1.0,22232,8892,2077262929.0,94219032.46514882
102585,388.0,9.0,14185,33453,2141190529.0,97120327.88043325
47847,377.0,36.0,405,2433,2168671761.0,98360028.9394501
15304,773.0,4.0,405,1587,2226707344.0,100992257.50674303
75168,762.0,79.52631579,3109,1377,2234831076.0,101361157.17614579
31606,322.0,79.68421053,26782,5118,2236533264.0,101442787.70720798
72371,443.0,78.0,25066,5541,2246001664.0,101872037.05944078
49748,1510.0,121.0,22388,16128,2247708100.0,101950903.37159252
39818,421.0,76.42105263,23727,29094,2256345001.0,102344195.55208604
61908,861.0,4.0,29200,9756,2262238969.0,102609937.05513312
80893,520.0,43.21052632,8530,14286,2368671561.0,107434077.17832153
6756,927.0,126.7894737,21582,5709,2399922121.0,108852688.9706205
57147,300.0,1.0,54550,20661,2429208369.0,110188448.14696907
104247,476.0,881.5789474,36571,27927,2455499809.0,111379060.52819411
41553,234.0,1397.1578949999998,6138,2754,2486318769.0,112768088.7169154
11017,641.0,549.0526316,21205,4656,2494503025.0,113142137.85980667
42568,333.0,9.0,30240,51366,2505402916.0,113644318.41102637
5387,245.0,15.21052632,29031,41226,2516527225.0,114147200.89127824
43171,465.0,1.0,29135,11220,2516828224.0,114156780.76036812
71719,883.0,64.0,11429,3702,2523756169.0,114467077.49319366
83313,1103.0,14.52631579,20009,8538,2569577481.0,116547528.22119233
32723,344.0,1.0,405,1365,2655650089.0,120446613.58162715
50620,179.0,64.57894737,405,1461,2690496900.0,122027037.93085998
59990,949.0,256.0,15407,6801,2695063396.0,122237854.66002077
29734,1422.0,16.0,254633,69336,2694855744.0,122278654.14250799
76102,1521.0,16.0,15966,11388,2719831104.0,123362110.62926319
25982,223.0,4.0,34699,2394,2742093225.0,124373238.00435315
40047,355.0,1.0,25053,23286,2764761561.0,125402650.91668303
107210,498.0,4.0,405,3351,2813347681.0,127599282.53830683
99008,410.0,1.0,3122,8361,2831516944.0,128424473.76935862
57950,245.0,5850.421053,3447,1905,2839504369.0,128787117.85126148
60224,586.0,9.0,10467,1617,2874889924.0,130392048.73927212
15016,322.0,4.0,77196,122466,2887665169.0,130999723.59129839
1280,553.0,1070.1052630000001,7698,6249,3117212224.0,141382889.95092535
59629,377.0,1078.684211,19346,19671,3119892736.0,141508274.77955452
102566,3215.0,18496.0,11962,13791,3130738209.0,142003109.65836817
19802,1103.0,25.0,8101,10446,3178253376.0,144152048.95417207
59972,1070.0,9.0,23285,17514,3306825025.0,149986969.51994523
99381,1202.0,289.0,28875,26973,3317760000.0,150485323.4538974
5874,190.0,175.94736840000002,405,1743,3376307236.0,153131827.14552766
96994,971.0,16.0,39197,104703,3397607521.0,154119237.6076982
54829,399.0,9.0,113713,5523,3432788100.0,155713667.64203447
60799,938.0,1.0,405,1788,3482416144.0,157944647.99588615
536,982.0,4.0,24260,22023,3597240529.0,163159435.41643095
44735,1246.0,16.0,22115,23118,3683518864.0,167072458.97771418
30853,443.0,169.0,405,2277,3719902081.0,168715647.22573677
59880,553.0,64.0,53003,14493,3743604225.0,169801469.42716733
89904,223.0,1387.315789,2134,1779,3832105216.0,173804991.84428248
66822,773.0,25.0,48193,71313,3851319481.0,174694029.4421296
57907,850.0,4.0,30669,24510,3881290000.0,176043812.1926296
52189,1928.0,1681.0,31358,39357,3924396025.0,178001884.73331144
48504,597.0,4.0,55889,14643,3955026321.0,179390979.96329492
