,masked_shop_click_from_search,masked_other_tab_click,masked_item_impression,shop_follower_number,shop_L180D_order,Score
0,225.0,10299.0,23710764289.0,82005.0,156119.0,2320787993.62889
1,361.0,9133.0,25607040484.0,82005.0,156119.0,2506391822.8827047
2,289.0,12598.0,21261139344.0,82005.0,156119.0,2081023812.279936
3,484.0,8671.0,17363069361.0,82005.0,156119.0,1699486581.7380245
4,400.0,9254.0,20385271729.0,82005.0,156119.0,1995294486.6966026
5,784.0,22113.0,52621607236.0,82005.0,156119.0,5150533463.63065
6,484.0,6790.0,19258500625.0,82005.0,156119.0,1885007432.2246811
7,441.0,8033.0,18694819441.0,82005.0,156119.0,1829835685.1801803
8,676.0,9320.0,22122992644.0,82005.0,156119.0,2165379646.320976
9,400.0,7978.0,44201698564.0,82005.0,156119.0,4326403378.332233
10,1024.0,8231.0,43418473641.0,82005.0,156119.0,4249743078.2542005
11,2209.0,34004.0,11099000000000.0,82005.0,156119.0,1086350306444.1873
12,784.0,8462.0,20050843201.0,82005.0,156119.0,1962561150.104701
13,1089.0,9188.0,21907256121.0,82005.0,156119.0,2144263884.9760714
14,1.0,58.0,58614336.0,3132.0,24078.0,5738997.480264833
15,182.7894736842105,135.0,55726225.0,3132.0,24078.0,5456418.811021439
16,1.0,135.0,280093696.0,3132.0,24078.0,27417024.741251677
17,105.78947368421052,91.0,49688401.0,3132.0,24078.0,4865399.672659082
18,178.57894736842104,80.0,56055169.0,3132.0,24078.0,5488596.62962139
19,1.0,135.0,34304449.0,3132.0,24078.0,3359612.6590198176
20,73.52631578947368,80.0,61434244.0,3132.0,24078.0,6015044.057490363
21,1.0,91.0,82919236.0,3132.0,24078.0,8117927.694121357
22,131.57894736842104,69.0,75498721.0,3132.0,24078.0,7391672.442197561
23,107.47368421052632,58.0,35820225.0,3132.0,24078.0,3507998.0960489437
24,1.0,14.0,37859409.0,3132.0,24078.0,3707528.925994911
25,4.0,69.0,75411856.0,3132.0,24078.0,7383113.395870023
26,157.26315789473685,58.0,52215076.0,3132.0,24078.0,5112718.990366367
27,69.57894736842105,80.0,32936121.0,3132.0,24078.0,3225696.9671395943
28,9.0,201.0,652444849.0,13398.0,47179.0,63864553.036087275
