shop_index,manage_shop_indicator,officialstore_indicator,preferred_shop_indicator,crossborder_indicator,shop_category,new_seller_flag,seller_centre_login_L30D,shop_sku_number,shop_follower_number,shop_L180D_order,weighted_shop_rating,rf_label,rf_probs,shopindex,GBDT_label,GBDT_probs
1693125,0.0,0.0,0.0,0.0,8.0,0.0,1.0,500.0,1182.0,990.0,5.0,0,0.94,1693125,0,0.7910867573249691
1867095,0.0,0.0,0.0,0.0,8.0,0.0,14.0,390.0,1605.0,7048.0,4.0,1,0.8,1867095,0,0.7910867573249691
1881135,0.0,0.0,0.0,0.0,20.0,0.0,5.0,522.0,3333.0,2329.0,4.0,0,0.63,1881135,0,0.7910867573249691
2011005,0.0,0.0,0.0,0.0,6.0,0.0,24.0,1930.0,33528.0,6411.0,4.0,0,0.92,2011005,0,0.7910867573249691
2037960,0.0,0.0,0.0,0.0,8.0,0.0,4.0,423.0,1179.0,405.0,5.0,0,0.96,2037960,0,0.7910867573249691
2082600,0.0,0.0,0.0,0.0,0.0,0.0,1.0,258.0,1416.0,405.0,3.917293233082707,0,0.82,2082600,0,0.8013022647801775
2174400,0.0,0.0,0.0,0.0,9.0,0.0,2.0,346.0,1233.0,535.0,3.0,0,0.96,2174400,0,0.7910867573249691
2209140,0.0,0.0,0.0,0.0,20.0,0.0,1.0,247.0,1017.0,405.0,5.0,0,0.95,2209140,0,0.7910867573249691
2241360,0.0,0.0,0.0,0.0,20.0,0.0,3.0,280.0,981.0,405.0,4.921052631578947,0,0.94,2241360,0,0.7910867573249691
2251035,0.0,0.0,0.0,0.0,20.0,0.0,1.0,247.0,1053.0,405.0,4.390977443609023,0,0.93,2251035,0,0.7910867573249691
2295360,0.0,0.0,0.0,0.0,3.0,0.0,2.0,258.0,1038.0,405.0,0.0,0,0.92,2295360,0,0.9101013615354286
2307735,0.0,0.0,0.0,0.0,20.0,0.0,1.0,247.0,1134.0,405.0,1.8834586466165413,0,0.93,2307735,0,0.7910867573249691
2475630,0.0,0.0,0.0,0.0,20.0,0.0,1.0,247.0,1164.0,405.0,3.954887218045112,0,0.92,2475630,0,0.7910867573249691
2496690,0.0,0.0,0.0,0.0,20.0,0.0,2.0,258.0,1128.0,431.0,4.0,0,0.93,2496690,0,0.7910867573249691
2509605,0.0,0.0,0.0,0.0,13.0,0.0,1.0,269.0,987.0,405.0,3.87593984962406,0,0.97,2509605,0,0.7910867573249691
2515815,0.0,0.0,0.0,0.0,20.0,0.0,25.0,643.0,7386.0,10844.0,4.0,0,0.51,2515815,0,0.7910867573249691
2589075,0.0,0.0,0.0,0.0,8.0,0.0,7.0,302.0,1143.0,405.0,5.0,0,0.94,2589075,0,0.7910867573249691
2659680,0.0,0.0,0.0,0.0,8.0,0.0,2.0,687.0,1191.0,548.0,3.0,0,0.95,2659680,0,0.7910867573249691
2678715,0.0,0.0,0.0,0.0,6.0,0.0,11.0,1600.0,3246.0,3681.0,4.0,1,0.63,2678715,0,0.7910867573249691
2689830,0.0,0.0,0.0,0.0,5.0,0.0,18.0,555.0,2847.0,704.0,3.0,0,0.86,2689830,0,0.7910867573249691
2771820,0.0,0.0,0.0,0.0,8.0,0.0,1.0,423.0,1464.0,405.0,1.0,0,0.92,2771820,0,0.7910867573249691
2773620,0.0,0.0,0.0,0.0,0.0,0.0,3.0,335.0,1335.0,509.0,3.0,0,0.84,2773620,0,0.8013022647801775
2789370,0.0,0.0,0.0,0.0,4.0,0.0,1.0,258.0,975.0,405.0,4.642857142857143,0,0.95,2789370,0,0.7910867573249691
2823345,0.0,0.0,1.0,0.0,6.0,0.0,18.0,1611.0,9006.0,3187.0,4.0,0,0.73,2823345,0,0.791170646214253
2915865,0.0,0.0,0.0,0.0,0.0,0.0,20.0,786.0,3630.0,20451.0,4.0,1,0.84,2915865,0,0.8013022647801775
2926170,0.0,0.0,0.0,0.0,20.0,0.0,2.0,247.0,1080.0,405.0,0.0,0,0.93,2926170,0,0.9101013615354286
2951460,0.0,0.0,0.0,0.0,8.0,0.0,1.0,280.0,1194.0,405.0,5.0,0,0.94,2951460,0,0.7910867573249691
2955555,0.0,0.0,0.0,0.0,20.0,0.0,1.0,1336.0,5283.0,2875.0,4.0,0,0.63,2955555,0,0.7910867573249691
2978910,0.0,0.0,0.0,0.0,20.0,0.0,18.0,412.0,2034.0,3395.0,4.0,1,0.76,2978910,0,0.7910867573249691
3024495,0.0,0.0,0.0,0.0,20.0,0.0,1.0,247.0,987.0,405.0,4.319548872180451,0,0.92,3024495,0,0.7910867573249691
3038175,0.0,0.0,0.0,0.0,8.0,0.0,5.0,302.0,1392.0,405.0,5.0,0,0.88,3038175,0,0.7910867573249691
3052215,0.0,0.0,0.0,0.0,9.0,0.0,5.0,258.0,1023.0,405.0,5.0,0,0.95,3052215,0,0.7910867573249691
3083940,0.0,0.0,0.0,0.0,6.0,0.0,1.0,412.0,2013.0,405.0,2.0,0,0.8,3083940,0,0.7910867573249691
3109365,0.0,0.0,0.0,0.0,13.0,0.0,2.0,379.0,1287.0,431.0,5.0,0,0.93,3109365,0,0.7910867573249691
3137895,0.0,0.0,0.0,0.0,20.0,0.0,1.0,390.0,2487.0,405.0,0.0,0,0.79,3137895,0,0.9101013615354286
3189735,0.0,0.0,0.0,0.0,5.0,0.0,7.0,676.0,1251.0,834.0,3.0,0,0.92,3189735,0,0.7910867573249691
3236265,0.0,0.0,0.0,0.0,8.0,0.0,3.0,258.0,1149.0,405.0,4.635338345864661,0,0.95,3236265,0,0.7910867573249691
3250035,0.0,0.0,0.0,0.0,8.0,0.0,2.0,269.0,1032.0,405.0,4.849624060150376,0,0.93,3250035,0,0.7910867573249691
3250800,0.0,0.0,0.0,0.0,20.0,1.0,1.0,258.0,1026.0,405.0,5.0,0,0.91,3250800,0,0.7910867573249691
3287835,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1336.0,2925.0,3577.0,4.0,1,0.6,3287835,0,0.80791934985067
3322485,0.0,0.0,1.0,0.0,5.0,0.0,30.0,3162.0,6804.0,5436.0,4.0,1,0.45,3322485,0,0.791170646214253
3327660,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1457.0,2256.0,938.0,2.0,0,0.63,3327660,0,0.7910867573249691
3389310,0.0,0.0,0.0,0.0,6.0,0.0,1.0,258.0,1257.0,405.0,0.0,0,0.87,3389310,0,0.9101013615354286
3390750,0.0,0.0,0.0,0.0,20.0,0.0,1.0,247.0,1026.0,405.0,3.766917293233084,0,0.93,3390750,0,0.7910867573249691
3402405,0.0,0.0,0.0,0.0,3.0,0.0,5.0,390.0,1107.0,1003.0,4.0,0,0.96,3402405,0,0.7910867573249691
3441510,0.0,0.0,0.0,0.0,11.0,0.0,16.0,610.0,1275.0,2836.0,5.0,1,0.76,3441510,0,0.7910867573249691
3474450,0.0,0.0,0.0,0.0,8.0,0.0,1.0,346.0,2706.0,1094.0,4.0,0,0.8,3474450,0,0.7910867573249691
3545055,1.0,0.0,0.0,0.0,0.0,0.0,2.0,258.0,1035.0,405.0,5.0,0,0.82,3545055,0,0.8013022647801775
3563235,0.0,0.0,0.0,0.0,8.0,0.0,1.0,335.0,2097.0,405.0,5.0,0,0.82,3563235,0,0.7910867573249691
3627990,0.0,0.0,0.0,0.0,20.0,0.0,2.0,258.0,1065.0,418.0,5.0,0,0.95,3627990,0,0.7910867573249691
3649095,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1116.0,1410.0,522.0,4.0,0,0.47,3649095,0,0.7910867573249691
3656115,0.0,0.0,0.0,0.0,20.0,0.0,1.0,247.0,978.0,405.0,4.424812030075188,0,0.9,3656115,0,0.7910867573249691
3688965,0.0,0.0,0.0,0.0,20.0,0.0,1.0,247.0,1065.0,405.0,4.364661654135338,0,0.93,3688965,0,0.7910867573249691
3744990,0.0,0.0,0.0,0.0,16.0,0.0,23.0,423.0,1434.0,1640.0,4.0,1,0.71,3744990,0,0.7910867573249691
3801690,0.0,0.0,0.0,0.0,1.0,0.0,1.0,368.0,3183.0,444.0,3.0,0,0.79,3801690,0,0.80791934985067
