shop_index,manage_shop_indicator,officialstore_indicator,preferred_shop_indicator,crossborder_indicator,shop_category,new_seller_flag,seller_centre_login_L30D,shop_sku_number,shop_follower_number,shop_L180D_order,weighted_shop_rating,rf_label,rf_probs,shopindex
309626010,0.0,0.0,0.0,0.0,3.0,0.0,1.0,269.0,1023.0,405.0,5.0,0,0.96,309626010
309780045,0.0,0.0,0.0,0.0,20.0,0.0,1.0,247.0,1014.0,405.0,3.755639097744361,0,0.93,309780045
309889800,0.0,0.0,0.0,0.0,0.0,0.0,6.0,368.0,990.0,405.0,5.0,0,0.95,309889800
309920445,0.0,0.0,0.0,0.0,20.0,0.0,1.0,247.0,990.0,405.0,3.7706766917293235,0,0.92,309920445
309972330,0.0,0.0,0.0,0.0,6.0,0.0,15.0,291.0,1044.0,574.0,5.0,0,0.91,309972330
310056300,0.0,0.0,0.0,0.0,1.0,0.0,20.0,291.0,981.0,405.0,4.932330827067669,0,0.85,310056300
310088700,0.0,0.0,0.0,0.0,6.0,0.0,8.0,379.0,1116.0,405.0,4.575187969924812,0,0.98,310088700
310125555,0.0,0.0,0.0,0.0,13.0,0.0,1.0,269.0,1002.0,405.0,4.842105263157896,0,0.99,310125555
310223340,0.0,0.0,0.0,0.0,8.0,0.0,1.0,709.0,1119.0,405.0,4.0,0,0.95,310223340
310321755,0.0,0.0,0.0,0.0,3.0,0.0,1.0,412.0,1011.0,405.0,5.0,0,0.99,310321755
310343400,0.0,0.0,0.0,0.0,0.0,0.0,2.0,313.0,1560.0,1003.0,4.0,0,0.86,310343400
310387275,0.0,0.0,0.0,0.0,8.0,0.0,1.0,379.0,1185.0,405.0,5.0,0,0.96,310387275
310404375,0.0,0.0,0.0,0.0,1.0,1.0,12.0,269.0,1005.0,405.0,5.0,0,0.98,310404375
310430790,0.0,0.0,1.0,0.0,3.0,0.0,14.0,2183.0,5178.0,4422.0,4.0,0,0.49,310430790
310447035,0.0,0.0,0.0,0.0,20.0,0.0,1.0,247.0,984.0,405.0,3.9135338345864663,0,0.92,310447035
310460850,0.0,0.0,0.0,0.0,6.0,0.0,11.0,720.0,984.0,405.0,4.0,0,0.9,310460850
310499640,0.0,0.0,0.0,0.0,20.0,0.0,4.0,247.0,999.0,405.0,5.0,0,0.95,310499640
310559940,0.0,0.0,0.0,0.0,8.0,0.0,30.0,302.0,1704.0,17500.0,4.0,1,0.85,310559940
310568175,0.0,0.0,0.0,0.0,20.0,1.0,1.0,247.0,993.0,405.0,4.387218045112782,0,0.89,310568175
310758390,0.0,0.0,0.0,0.0,6.0,0.0,4.0,291.0,990.0,405.0,4.830827067669172,0,0.96,310758390
310794480,0.0,0.0,0.0,0.0,1.0,0.0,15.0,368.0,1038.0,405.0,5.0,0,0.92,310794480
310919760,0.0,0.0,0.0,0.0,3.0,0.0,1.0,357.0,1041.0,899.0,4.0,0,0.91,310919760
310925115,0.0,0.0,0.0,0.0,8.0,0.0,2.0,346.0,1035.0,405.0,5.0,0,0.94,310925115
310937760,0.0,0.0,0.0,0.0,8.0,0.0,6.0,929.0,1050.0,405.0,5.0,0,0.68,310937760
311005035,0.0,0.0,0.0,0.0,3.0,1.0,1.0,258.0,999.0,405.0,4.860902255639098,0,0.98,311005035
311158260,0.0,0.0,0.0,0.0,0.0,0.0,10.0,335.0,1053.0,405.0,5.0,0,0.96,311158260
311179725,0.0,0.0,0.0,0.0,8.0,0.0,1.0,313.0,1077.0,405.0,4.0,0,0.95,311179725
311225265,0.0,0.0,0.0,0.0,3.0,0.0,4.0,247.0,978.0,405.0,5.0,0,0.96,311225265
311243130,0.0,0.0,0.0,0.0,9.0,0.0,9.0,269.0,1008.0,405.0,5.0,0,0.96,311243130
311262840,0.0,0.0,0.0,0.0,6.0,0.0,6.0,258.0,1083.0,405.0,4.0,0,0.94,311262840
311292225,0.0,0.0,0.0,0.0,3.0,0.0,1.0,247.0,1029.0,405.0,5.0,0,0.96,311292225
311329260,0.0,0.0,0.0,0.0,20.0,0.0,1.0,258.0,1026.0,405.0,5.0,0,0.95,311329260
311365755,0.0,0.0,0.0,0.0,8.0,0.0,30.0,423.0,1470.0,7191.0,4.0,1,0.81,311365755
311470155,0.0,0.0,0.0,0.0,1.0,0.0,11.0,368.0,1074.0,405.0,5.0,0,0.98,311470155
311541120,0.0,0.0,0.0,0.0,8.0,1.0,7.0,533.0,993.0,405.0,5.0,0,0.98,311541120
311569020,0.0,0.0,0.0,0.0,8.0,0.0,1.0,291.0,1293.0,1796.0,4.0,0,0.48,311569020
311629005,0.0,0.0,0.0,0.0,20.0,0.0,2.0,269.0,1002.0,405.0,5.0,0,0.95,311629005
311637780,0.0,0.0,0.0,0.0,20.0,0.0,2.0,302.0,975.0,405.0,4.7932330827067675,0,0.92,311637780
