,decorated_indicator,manage_shop_indicator,officialstore_indicator,preferred_shop_indicator,crossborder_indicator,shop_category,new_seller_flag,seller_centre_login_L30D,shop_sku_number,shop_follower_number,shop_L180D_order,weighted_shop_rating,performance_date,masked_item_impression,masked_order,masked_shop_page_view,masked_shop_click_from_search,masked_campaign_tab_click,masked_other_tab_click
54,1,0,0,0,1,20,0,25,665,1203,405,4,14,144400,0,0,5.111111111,11,31.72222222
55,1,0,0,0,1,20,0,25,665,1203,405,4,11,19321,0,0,4.888888889,11,25
56,1,0,0,1,0,11,0,6,2821,12903,10012,4,3,77246521,64,2601,115.2777778,11,300
57,1,0,0,1,0,11,0,6,2821,12903,10012,4,13,68013009,1,0,14.72222222,11,113
58,1,0,0,1,0,11,0,6,2821,12903,10012,4,10,88811776,1728,169,1,11,234
59,1,0,0,1,0,11,0,6,2821,12903,10012,4,14,90763729,125,1444,32.61111111,11,267
60,1,0,0,1,0,11,0,6,2821,12903,10012,4,11,78925456,125,2601,1,11,245
61,1,0,0,1,0,11,0,6,2821,12903,10012,4,1,84400969,8,3721,4,11,256
62,1,0,0,1,0,11,0,6,2821,12903,10012,4,8,376243609,1728,841,1,11,542
63,1,0,0,1,0,11,0,6,2821,12903,10012,4,9,139806976,512,4761,300.8333333,11,234
64,1,0,0,1,0,11,0,6,2821,12903,10012,4,4,57441241,27,2601,113.5555556,11,168
65,1,0,0,1,0,11,0,6,2821,12903,10012,4,7,142945936,64,729,1,11,399
66,1,0,0,1,0,11,0,6,2821,12903,10012,4,12,78552769,27,16,1,11,333
67,1,0,0,1,0,11,0,6,2821,12903,10012,4,2,73410624,343,13456,1,11,245
68,1,0,0,1,0,11,0,6,2821,12903,10012,4,5,70610409,343,16,73,11,245
69,1,0,0,1,0,11,0,6,2821,12903,10012,4,6,76912900,64,225,139.7222222,11,267
70,1,0,0,1,1,20,0,24,7771,2211,11611,4,7,731377936,1728,0,3971.111111,11,553
71,1,0,0,1,1,20,0,24,7771,2211,11611,4,8,2963604721,1225043,0,4,11,993
72,1,0,0,1,1,20,0,24,7771,2211,11611,4,11,855738009,32768,0,4383.722222,11,366
73,1,0,0,1,1,20,0,24,7771,2211,11611,4,1,393070276,3375,0,709.4444444,11,289
74,1,0,0,1,1,20,0,24,7771,2211,11611,4,12,288524196,8000,0,793.1666667,11,212
75,1,0,0,1,1,20,0,24,7771,2211,11611,4,4,246050596,8000,0,19.94444444,11,267
76,1,0,0,1,1,20,0,24,7771,2211,11611,4,2,316768804,12167,0,1,11,212
77,1,0,0,1,1,20,0,24,7771,2211,11611,4,3,310076881,12167,0,314.2777778,11,223
78,1,0,0,1,1,20,0,24,7771,2211,11611,4,9,603684900,4913,0,2486.777778,11,267
79,1,0,0,1,1,20,0,24,7771,2211,11611,4,14,412943041,8000,0,9,11,454
80,1,0,0,1,1,20,0,24,7771,2211,11611,4,6,347263225,39304,0,48.27777778,11,245
81,1,0,0,1,1,20,0,24,7771,2211,11611,4,10,613850176,10648,0,2762.333333,11,267
82,1,0,0,1,1,20,0,24,7771,2211,11611,4,5,379314576,10648,0,208.2222222,11,289
83,1,0,0,1,1,20,0,24,7771,2211,11611,4,13,271854144,2197,0,148.6666667,11,256
84,1,0,0,0,1,0,0,28,1688,1053,405,4,11,438244,1,0,4.055555556,11,14
85,1,0,0,0,1,0,0,28,1688,1053,405,4,3,4182025,8,36,224,11,86.72222222
86,1,0,0,0,1,0,0,28,1688,1053,405,4,9,3104644,0,196,33.11111111,11,48.22222222
87,1,0,0,0,1,0,0,28,1688,1053,405,4,14,485809,0,0,3.777777778,11,14
88,1,0,0,0,1,0,0,28,1688,1053,405,4,10,221841,1,0,11.5,11,37.83333333
89,1,0,0,0,1,0,0,28,1688,1053,405,4,1,4173849,0,0,224,11,86.72222222
90,1,0,0,0,1,0,0,28,1688,1053,405,4,5,4439449,0,0,173.1111111,11,100.7777778
91,1,0,0,0,1,0,0,28,1688,1053,405,4,2,2917264,0,0,5.5,11,25
92,1,0,0,0,1,0,0,28,1688,1053,405,4,6,4108729,0,0,223.1111111,11,95.88888889
93,1,0,0,0,1,0,0,28,1688,1053,405,4,7,6002500,1,0,8.166666667,11,64.11111111
94,1,0,0,0,1,0,0,28,1688,1053,405,4,12,330625,0,0,2.555555556,11,54.94444444
95,1,0,0,0,1,0,0,28,1688,1053,405,4,13,390625,0,0,3.888888889,11,45.16666667
96,1,0,0,0,1,0,0,28,1688,1053,405,4,8,15563025,8,0,141.6111111,11,111.1666667
97,1,0,0,0,1,0,0,28,1688,1053,405,4,4,3940225,0,0,222.8333333,11,120.9444444
98,1,0,0,0,0,8,0,1,720,4233,431,4,3,93025,0,7225,5,11,28.05555556
99,1,0,0,0,0,8,0,1,720,4233,431,4,14,189225,0,0,9,11,59.83333333
100,1,0,0,0,0,8,0,1,720,4233,431,4,10,180625,0,0,9.166666667,11,61.05555556
101,1,0,0,0,0,8,0,1,720,4233,431,4,5,198025,0,0,9.166666667,11,62.88888889
102,1,0,0,0,0,8,0,1,720,4233,431,4,8,1144900,0,0,9,11,14
103,1,0,0,0,0,8,0,1,720,4233,431,4,9,498436,0,25,4,11,14
104,1,0,0,0,0,8,0,1,720,4233,431,4,7,972196,0,0,11.72222222,11,40.88888889
105,1,0,0,0,0,8,0,1,720,4233,431,4,6,524176,0,0,16,11,37.83333333
106,1,0,0,0,0,8,0,1,720,4233,431,4,11,179776,0,0,1,11,61.05555556
107,1,0,0,0,0,8,0,1,720,4233,431,4,1,129600,0,0,1,11,26.22222222
108,1,0,0,0,0,8,0,1,720,4233,431,4,2,65025,0,0,1,11,14
109,1,0,0,0,0,8,0,1,720,4233,431,4,12,116964,0,0,5.277777778,11,29.88888889
110,1,0,0,0,0,8,0,1,720,4233,431,4,13,150544,0,0,4,11,25
111,1,0,0,0,0,8,0,1,720,4233,431,4,4,91204,0,0,1,11,14
112,1,0,0,0,1,15,0,15,522,2052,14562,4,2,6512704,1728,0,9.5,11,14
113,1,0,0,0,1,15,0,15,522,2052,14562,4,8,53260804,8000,0,134.3888889,11,47
114,1,0,0,0,1,15,0,15,522,2052,14562,4,12,20205025,729,0,47,11,47
115,1,0,0,0,1,15,0,15,522,2052,14562,4,5,8082649,1331,0,13.55555556,11,36
116,1,0,0,0,1,15,0,15,522,2052,14562,4,9,23882769,4913,0,87.88888889,11,25
117,1,0,0,0,1,15,0,15,522,2052,14562,4,1,8832784,343,0,17.16666667,11,25
118,1,0,0,0,1,15,0,15,522,2052,14562,4,14,15100996,512,0,53.55555556,11,91
119,1,0,0,0,1,15,0,15,522,2052,14562,4,3,9060100,64,0,17.38888889,11,25
120,1,0,0,0,1,15,0,15,522,2052,14562,4,11,14348944,216,0,26.38888889,11,14
121,1,0,0,0,1,15,0,15,522,2052,14562,4,13,20016676,4913,0,4,11,69
122,1,0,0,0,1,15,0,15,522,2052,14562,4,4,9326916,512,0,15.94444444,11,91
123,1,0,0,0,1,15,0,15,522,2052,14562,4,10,20187049,125,0,47,11,14
124,1,0,0,0,1,15,0,15,522,2052,14562,4,6,11655396,512,0,30.16666667,11,36
125,1,0,0,0,1,15,0,15,522,2052,14562,4,7,13704804,4096,0,29.22222222,11,80
126,1,1,0,0,0,16,0,29,2282,26613,30396,4,4,1231939801,5832,0,4098.222222,11,278
127,1,1,0,0,0,16,0,29,2282,26613,30396,4,5,1211109601,12167,0,4340.388889,11,223
128,1,1,0,0,0,16,0,29,2282,26613,30396,4,3,1132457104,10648,0,1174.277778,11,300
129,1,1,0,0,0,16,0,29,2282,26613,30396,4,2,1544097025,10648,0,1762.833333,11,234
130,1,1,0,0,0,16,0,29,2282,26613,30396,4,1,1642843024,10648,0,978.3333333,11,256
131,1,1,0,0,0,16,0,29,2282,26613,30396,4,13,1007364121,9261,0,1514.555556,11,212
132,1,1,0,0,0,16,0,29,2282,26613,30396,4,7,1840753216,1728,0,2710.666667,11,267
133,1,1,0,0,0,16,0,29,2282,26613,30396,4,10,1362348100,6859,0,284.4444444,11,278
134,1,1,0,0,0,16,0,29,2282,26613,30396,4,14,981819556,12167,0,5347.555556,11,135
135,1,1,0,0,0,16,0,29,2282,26613,30396,4,9,1469572225,2197,0,77.33333333,11,212
136,1,1,0,0,0,16,0,29,2282,26613,30396,4,6,1375593921,8000,0,415.1666667,11,135
137,1,1,0,0,0,16,0,29,2282,26613,30396,4,12,1235311609,15625,0,4236.888889,11,278
138,1,1,0,0,0,16,0,29,2282,26613,30396,4,8,4144526884,39304,0,610.6111111,11,267
139,1,1,0,0,0,16,0,29,2282,26613,30396,4,11,1245313521,4096,0,4238,11,201
140,1,0,0,0,0,4,0,26,1248,1404,405,4,5,193043236,24389,0,461.5555556,11,91
141,1,0,0,0,0,4,0,26,1248,1404,405,4,8,1038515076,300763,0,1,11,245
142,1,0,0,0,0,4,0,26,1248,1404,405,4,13,255680100,54872,0,151.9444444,11,25
143,1,0,0,0,0,4,0,26,1248,1404,405,4,14,273803209,35937,0,631.4444444,11,212
144,1,0,0,0,0,4,0,26,1248,1404,405,4,9,251571321,50653,0,10.72222222,11,36
145,1,0,0,0,0,4,0,26,1248,1404,405,4,1,192349161,59319,0,461.7222222,11,146
146,1,0,0,0,0,4,0,26,1248,1404,405,4,10,263900025,17576,0,608.1111111,11,135
147,1,0,0,0,0,4,0,26,1248,1404,405,4,12,228342321,39304,0,34.27777778,11,135
148,1,0,0,0,0,4,0,26,1248,1404,405,4,11,203062500,6859,0,247.1111111,11,91
149,1,0,0,0,0,4,0,26,1248,1404,405,4,3,261857124,54872,0,457,11,223
150,1,0,0,0,0,4,0,26,1248,1404,405,4,6,202066225,21952,0,230,11,69
151,1,0,0,0,0,4,0,26,1248,1404,405,4,7,251064025,8000,0,9.833333333,11,157
152,1,0,0,0,0,4,0,26,1248,1404,405,4,4,202236841,46656,0,230,11,91
153,1,0,0,0,0,4,0,26,1248,1404,405,4,2,219099204,27000,0,528.5555556,11,168
154,1,1,0,0,0,0,0,30,4625,105216,214684,4,9,6955560000,6539203,0,4,11,1169
155,1,1,0,0,0,0,0,30,4625,105216,214684,4,10,6152519844,9938375,0,1,11,1114
156,1,1,0,0,0,0,0,30,4625,105216,214684,4,11,5845061209,7529536,0,16,11,1048
157,1,1,0,0,0,0,0,30,4625,105216,214684,4,8,30094616484,80062991,0,4,11,1840
158,1,1,0,0,0,0,0,30,4625,105216,214684,4,13,3725515369,4330747,0,4,11,905
159,1,1,0,0,0,0,0,30,4625,105216,214684,4,7,8247909124,1953125,0,16,11,1400
160,1,1,0,0,0,0,0,30,4625,105216,214684,4,2,3563970601,3723875,0,4,11,1015
161,1,1,0,0,0,0,0,30,4625,105216,214684,4,4,3983376996,3112136,0,18814.16667,11,850
162,1,1,0,0,0,0,0,30,4625,105216,214684,4,3,4719690000,1685159,0,1,11,894
163,1,1,0,0,0,0,0,30,4625,105216,214684,4,1,3667998096,1000000,0,1,11,971
164,1,1,0,0,0,0,0,30,4625,105216,214684,4,6,5077132516,2048383,0,4,11,960
165,1,1,0,0,0,0,0,30,4625,105216,214684,4,5,4450224100,2744000,0,4,11,1180
166,1,1,0,0,0,0,0,30,4625,105216,214684,4,12,4900280004,10793861,0,8635.944444,11,971
167,1,1,0,0,0,0,0,30,4625,105216,214684,4,14,4396353025,3176523,1,1,11,1752
168,1,0,0,0,1,13,0,25,7122,3462,6164,4,1,9672100,1000,0,16.38888889,11,47
169,1,0,0,0,1,13,0,25,7122,3462,6164,4,14,11758041,64,0,1,11,47
170,1,0,0,0,1,13,0,25,7122,3462,6164,4,12,8814961,216,0,17.16666667,11,58
171,1,0,0,0,1,13,0,25,7122,3462,6164,4,7,33942276,729,0,99.11111111,11,179
172,1,0,0,0,1,13,0,25,7122,3462,6164,4,13,11189025,216,0,29.33333333,11,69
173,1,0,0,0,1,13,0,25,7122,3462,6164,4,10,14668900,343,0,1,11,25
174,1,0,0,0,1,13,0,25,7122,3462,6164,4,2,8708401,512,0,11.38888889,11,47
175,1,0,0,0,1,13,0,25,7122,3462,6164,4,9,10601536,729,0,151.3333333,11,25
176,1,0,0,0,1,13,0,25,7122,3462,6164,4,11,12559936,1,0,12.22222222,11,168
177,1,0,0,0,1,13,0,25,7122,3462,6164,4,4,14371681,343,0,26.38888889,11,69
178,1,0,0,0,1,13,0,25,7122,3462,6164,4,3,12390400,729,0,1,11,135
179,1,0,0,0,1,13,0,25,7122,3462,6164,4,6,16638241,125,0,4,11,157
180,1,0,0,0,1,13,0,25,7122,3462,6164,4,5,18662400,125,0,65.33333333,11,91
181,1,0,0,0,1,13,0,25,7122,3462,6164,4,8,68906601,12167,0,1,11,201
182,1,0,0,0,0,17,0,30,1083,29808,38547,4,11,1.57493E+11,6434856,36,144,11,1884
183,1,0,0,0,0,17,0,30,1083,29808,38547,4,3,21323008576,1643032,9,64,11,1004
184,1,0,0,0,0,17,0,30,1083,29808,38547,4,13,17816910400,10360232,1,100,11,1906
185,1,0,0,0,0,17,0,30,1083,29808,38547,4,2,71023316004,1815848,16,49,11,1136
186,1,0,0,0,0,17,0,30,1083,29808,38547,4,9,2.57909E+11,2685619,0,1024,11,2643
187,1,0,0,0,0,17,0,30,1083,29808,38547,4,1,8044475481,250047,0,121,11,916
188,1,0,0,0,0,17,0,30,1083,29808,38547,4,14,2.52017E+11,15438249,16,289,11,2698
189,1,0,0,0,0,17,0,30,1083,29808,38547,4,8,1.26061E+12,15069223,0,441,11,3886
190,1,0,0,0,0,17,0,30,1083,29808,38547,4,10,2.16508E+11,3375000,529,289,11,1741
191,1,0,0,0,0,17,0,30,1083,29808,38547,4,5,1.69039E+11,1643032,1,289,11,1774
192,1,0,0,0,0,17,0,30,1083,29808,38547,4,12,32315095696,18191447,0,625,11,2797
193,1,0,0,0,0,17,0,30,1083,29808,38547,4,7,2.86387E+11,1259712,0,1225,11,2896
194,1,0,0,0,0,17,0,30,1083,29808,38547,4,4,1.19801E+11,2197000,4,441,11,1609
195,1,0,0,0,0,17,0,30,1083,29808,38547,4,6,1.6048E+11,2571353,4,1024,11,2995
196,1,1,0,0,0,19,0,26,852,8946,46477,4,7,911375721,9261,100,100,11,1653
197,1,1,0,0,0,19,0,26,852,8946,46477,4,8,5452788649,68921,9,4,11,1664
198,1,1,0,0,0,19,0,26,852,8946,46477,4,5,516971169,24389,441,16,11,839
199,1,1,0,0,0,19,0,26,852,8946,46477,4,9,702356004,4096,100,1,11,1081
200,1,1,0,0,0,19,0,26,852,8946,46477,4,6,560789761,8000,1,16,11,894
201,1,1,0,0,0,19,0,26,852,8946,46477,4,10,695798884,12167,0,25,11,916
202,1,1,0,0,0,19,0,26,852,8946,46477,4,1,402523969,29791,4,9,11,751
203,1,1,0,0,0,19,0,26,852,8946,46477,4,12,577344784,8000,196,277.1111111,11,751
204,1,1,0,0,0,19,0,26,852,8946,46477,4,3,537636969,32768,49,49,11,795
205,1,1,0,0,0,19,0,26,852,8946,46477,4,11,580520836,12167,1,9,11,740
206,1,1,0,0,0,19,0,26,852,8946,46477,4,14,566154436,8000,144,36,11,1015
207,1,1,0,0,0,19,0,26,852,8946,46477,4,2,864654025,8000,0,9,11,1301
208,1,1,0,0,0,19,0,26,852,8946,46477,4,13,490622500,4913,36,16,11,927
209,1,1,0,0,0,19,0,26,852,8946,46477,4,4,426629025,21952,484,4,11,740
210,1,1,0,1,0,9,0,30,1809,8202,16226,4,2,236021769,4913,1,4,11,289
211,1,1,0,1,0,9,0,30,1809,8202,16226,4,8,2508807744,185193,36,64,11,718
212,1,1,0,1,0,9,0,30,1809,8202,16226,4,11,241926916,19683,100,9,11,278
213,1,1,0,1,0,9,0,30,1809,8202,16226,4,6,282408025,12167,9,16,11,476
214,1,1,0,1,0,9,0,30,1809,8202,16226,4,1,386515600,4913,0,25,11,333
215,1,1,0,1,0,9,0,30,1809,8202,16226,4,5,205262929,9261,1,375.5,11,190
216,1,1,0,1,0,9,0,30,1809,8202,16226,4,14,342176004,8000,4,4,11,267
217,1,1,0,1,0,9,0,30,1809,8202,16226,4,10,251634769,13824,49,4,11,234
218,1,1,0,1,0,9,0,30,1809,8202,16226,4,4,253350889,29791,1,4,11,344
219,1,1,0,1,0,9,0,30,1809,8202,16226,4,3,106028209,1331,0,1,11,168
220,1,1,0,1,0,9,0,30,1809,8202,16226,4,7,289000000,3375,100,9,11,267
221,1,1,0,1,0,9,0,30,1809,8202,16226,4,9,249766416,4913,49,4,11,344
222,1,1,0,1,0,9,0,30,1809,8202,16226,4,12,216119401,24389,0,4,11,256
223,1,1,0,1,0,9,0,30,1809,8202,16226,4,13,261501241,15625,0,457,11,322
224,1,0,0,0,0,14,0,6,577,990,405,5,11,158404,1,0,3.611111111,11,31.11111111
225,1,0,0,0,0,14,0,6,577,990,405,5,4,69696,1,4,10.72222222,11,14
226,1,0,0,0,0,14,0,6,577,990,405,5,1,62001,1,0,10.27777778,11,22.55555556
227,1,0,0,0,0,14,0,6,577,990,405,5,3,75076,0,0,10.72222222,11,24.38888889
228,1,0,0,0,0,14,0,6,577,990,405,5,10,178084,0,0,9.166666667,11,34.16666667
229,1,0,0,0,0,14,0,6,577,990,405,5,9,310249,1,1,4,11,168
230,1,0,0,0,0,14,0,6,577,990,405,5,7,47961,0,0,10,11,25
231,1,0,0,0,0,14,0,6,577,990,405,5,6,5776,1,4,2.611111111,11,27.44444444
232,1,0,0,0,0,14,0,6,577,990,405,5,12,62500,0,9,10.27777778,11,22.55555556
233,1,0,0,0,0,14,0,6,577,990,405,5,5,35721,1,0,4.944444444,11,32.94444444
234,1,0,0,0,0,14,0,6,577,990,405,5,2,53824,0,0,9.833333333,11,14
235,1,0,0,0,0,14,0,6,577,990,405,5,8,386884,8,121,4.333333333,11,14
236,1,0,0,0,0,14,0,6,577,990,405,5,14,175561,1,9,9.166666667,11,35.38888889
237,1,0,0,0,0,14,0,6,577,990,405,5,13,103684,8,16,5.888888889,11,14
238,1,1,0,1,0,11,0,30,2458,9183,62896,5,12,1274204416,438976,0,49,11,520
239,1,1,0,1,0,11,0,30,2458,9183,62896,5,5,1754101924,474552,0,81,11,619
240,1,1,0,1,0,11,0,30,2458,9183,62896,5,9,1448106916,373248,1,196,11,564
241,1,1,0,1,0,11,0,30,2458,9183,62896,5,1,1613869929,1061208,0,121,11,608
242,1,1,0,1,0,11,0,30,2458,9183,62896,5,7,1676984401,456533,0,225,11,762
243,1,1,0,1,0,11,0,30,2458,9183,62896,5,6,1638792324,328509,1,64,11,531
244,1,1,0,1,0,11,0,30,2458,9183,62896,5,14,1564677136,1030301,25,144,11,377
245,1,1,0,1,0,11,0,30,2458,9183,62896,5,13,1394051569,778688,4,64,11,542
246,1,1,0,1,0,11,0,30,2458,9183,62896,5,10,1353062656,551368,1,400,11,696
247,1,1,0,1,0,11,0,30,2458,9183,62896,5,11,1117163776,1030301,4,169,11,575
248,1,1,0,1,0,11,0,30,2458,9183,62896,5,8,5002167076,5832000,1,1225,11,1026
249,1,1,0,1,0,11,0,30,2458,9183,62896,5,2,1382798596,804357,16,100,11,487
250,1,1,0,1,0,11,0,30,2458,9183,62896,5,3,1224370081,681472,9,49,11,454
251,1,1,0,1,0,11,0,30,2458,9183,62896,5,4,1597041369,614125,0,196,11,388
252,1,0,0,0,1,8,0,30,7694,8823,21322,4,2,274266721,1000,0,324,11,322
253,1,0,0,0,1,8,0,30,7694,8823,21322,4,5,285238321,125,0,441,11,388
254,1,0,0,0,1,8,0,30,7694,8823,21322,4,12,185776900,343,0,220.2222222,11,168
255,1,0,0,0,1,8,0,30,7694,8823,21322,4,11,219395344,343,0,9,11,157
256,1,0,0,0,1,8,0,30,7694,8823,21322,4,3,316626436,1000,0,1936,11,520
257,1,0,0,0,1,8,0,30,7694,8823,21322,4,6,302899216,64,0,289,11,300
258,1,0,0,0,1,8,0,30,7694,8823,21322,4,8,1255001476,1728,0,9,11,289
259,1,0,0,0,1,8,0,30,7694,8823,21322,4,14,203347600,2197,0,266.6666667,11,179
260,1,0,0,0,1,8,0,30,7694,8823,21322,4,7,572979969,512,0,1156,11,498
261,1,0,0,0,1,8,0,30,7694,8823,21322,4,13,226502500,216,0,154.0555556,11,201
262,1,0,0,0,1,8,0,30,7694,8823,21322,4,1,282710596,125,0,676,11,179
263,1,0,0,0,1,8,0,30,7694,8823,21322,4,9,334231524,1000,0,1,11,179
264,1,0,0,0,1,8,0,30,7694,8823,21322,4,4,282374416,1728,0,400,11,333
265,1,0,0,0,1,8,0,30,7694,8823,21322,4,10,227406400,1000,0,1,11,190
266,1,0,0,0,1,13,0,30,3712,2337,405,4,13,28174864,6859,0,71.05555556,11,113
267,1,0,0,0,1,13,0,30,3712,2337,405,4,6,151511481,1728,0,539,11,234
268,1,0,0,0,1,13,0,30,3712,2337,405,4,3,100580841,13824,0,1,11,124
269,1,0,0,0,1,13,0,30,3712,2337,405,4,10,191296561,13824,0,582.8888889,11,146
270,1,0,0,0,1,13,0,30,3712,2337,405,4,2,112360000,12167,0,111.9444444,11,102
271,1,0,0,0,1,13,0,30,3712,2337,405,4,11,149157369,10648,0,1,11,245
272,1,0,0,0,1,13,0,30,3712,2337,405,4,5,132112036,2744,0,166.0555556,11,113
273,1,0,0,0,1,13,0,30,3712,2337,405,4,4,195216784,1331,0,1,11,245
274,1,0,0,0,1,13,0,30,3712,2337,405,4,14,25796241,4096,0,91.44444444,11,113
275,1,0,0,0,1,13,0,30,3712,2337,405,4,7,223442704,4096,0,1,11,201
276,1,0,0,0,1,13,0,30,3712,2337,405,4,1,102495376,4096,0,322.7222222,11,157
277,1,0,0,0,1,13,0,30,3712,2337,405,4,9,199996164,50653,0,223.5555556,11,168
278,1,0,0,0,1,13,0,30,3712,2337,405,4,12,20124196,1000,0,47,11,47
279,1,0,0,0,1,13,0,30,3712,2337,405,4,8,479084544,74088,0,1,11,234
280,1,0,0,0,0,7,0,30,1083,10014,30786,4,10,146337409,512,0,211.4444444,11,146
281,1,0,0,0,0,7,0,30,1083,10014,30786,4,8,1141020841,328509,1,1405.611111,11,454
282,1,0,0,0,0,7,0,30,1083,10014,30786,4,9,190881856,8000,0,1,11,190
283,1,0,0,0,0,7,0,30,1083,10014,30786,4,3,137428729,8000,0,1,11,256
