manage_shop_indicator,officialstore_indicator,preferred_shop_indicator,crossborder_indicator,shop_category,new_seller_flag,seller_centre_login_L30D,shop_sku_number,shop_follower_number,shop_L180D_order,weighted_shop_rating,performance_date,masked_item_impression,masked_order,masked_shop_page_view,masked_shop_click_from_search,masked_campaign_tab_click,masked_other_tab_click,shop_index,rf_label,predicted_orders
0,0,0,1,7,0,16,11093,972,405,3.0,13,1062961.0,0.0,0,17.68421053,11,23.84210526,1357898220,4,28.995913845830295
0,0,0,1,7,0,16,11093,972,405,3.0,6,1085764.0,0.0,0,25.21052632,11,25.57894737,1357898220,4,28.995913845830295
0,0,0,1,7,0,16,11093,972,405,3.0,12,1046529.0,0.0,0,38.89473684,11,23.84210526,1357898220,4,28.995913845830295
0,0,0,1,7,0,16,11093,972,405,3.0,3,1272384.0,0.0,0,11.15789474,11,31.36842105,1357898220,4,28.701524810213286
0,0,0,1,7,0,16,11093,972,405,3.0,14,833569.0,0.0,0,104.6315789,11,18.63157895,1357898220,4,28.995913845830295
0,0,0,1,7,0,16,11093,972,405,3.0,7,1542564.0,0.0,0,9.473684211,11,22.10526316,1357898220,4,28.732800446762102
0,0,0,1,7,0,16,11093,972,405,3.0,2,1602756.0,0.0,0,11.73684211,11,25.0,1357898220,4,28.701524810213286
0,0,0,1,7,0,16,11093,972,405,3.0,9,1159929.0,0.0,0,20.47368421,11,24.42105263,1357898220,4,28.995913845830295
0,0,0,1,7,0,16,11093,972,405,3.0,8,2775556.0,0.0,0,54.0,11,37.73684211,1357898220,4,28.995913845830295
0,0,0,1,7,0,16,11093,972,405,3.0,10,1147041.0,0.0,0,11.84210526,11,20.36842105,1357898220,4,28.701524810213286
0,0,0,1,7,0,16,11093,972,405,3.0,1,1768900.0,0.0,0,8.631578947,11,26.15789474,1357898220,4,28.732800446762102
0,0,0,1,7,0,16,11093,972,405,3.0,5,877969.0,0.0,0,34.52631579,11,26.15789474,1357898220,4,28.995913845830295
0,0,0,1,7,0,16,11093,972,405,3.0,4,1162084.0,0.0,0,18.63157895,11,20.94736842,1357898220,4,28.995913845830295
0,0,0,1,7,0,16,11093,972,405,3.0,11,1352569.0,0.0,0,7.789473684,11,14.0,1357898220,4,28.732800446762102
0,0,0,1,7,0,13,26471,1125,1042,4.0,7,7354944.0,0.0,0,158.5789474,11,25.0,968219775,4,28.995913845830295
0,0,0,1,7,0,13,26471,1125,1042,4.0,6,4631104.0,0.0,0,9.473684211,11,32.52631579,968219775,4,28.732800446762102
0,0,0,1,7,0,13,26471,1125,1042,4.0,12,5424241.0,0.0,0,103.4210526,11,43.52631579,968219775,4,28.995913845830295
0,0,0,1,7,0,13,26471,1125,1042,4.0,14,2427364.0,0.0,0,16.10526316,11,23.26315789,968219775,4,28.995913845830295
0,0,0,1,7,0,13,26471,1125,1042,4.0,2,4431025.0,0.0,0,27.10526316,11,40.63157895,968219775,4,28.995913845830295
0,0,0,1,7,0,13,26471,1125,1042,4.0,4,3984016.0,1.0,0,33.89473684,11,23.84210526,968219775,4,28.995913845830295
0,0,0,1,7,0,13,26471,1125,1042,4.0,10,7134241.0,1.0,0,59.89473684,11,36.0,968219775,4,28.995913845830295
0,0,0,1,7,0,13,26471,1125,1042,4.0,1,4397409.0,0.0,0,145.9473684,11,62.63157895,968219775,4,28.995913845830295
0,0,0,1,7,0,13,26471,1125,1042,4.0,8,17799961.0,27.0,0,138.2631579,11,25.0,968219775,4,28.995913845830295
0,0,0,1,7,0,13,26471,1125,1042,4.0,5,5049009.0,0.0,0,7.789473684,11,38.89473684,968219775,4,28.732800446762102
0,0,0,1,7,0,13,26471,1125,1042,4.0,9,6215049.0,1.0,0,16.78947368,11,53.36842105,968219775,4,28.995913845830295
0,0,0,1,7,0,13,26471,1125,1042,4.0,3,4044121.0,1.0,0,3.894736842,11,14.0,968219775,4,28.63439907128345
0,0,0,1,7,0,13,26471,1125,1042,4.0,13,3992004.0,0.0,0,6.105263158,11,27.89473684,968219775,4,28.60742197862003
0,0,0,1,7,0,13,26471,1125,1042,4.0,11,5953600.0,0.0,0,14.15789474,11,32.52631579,968219775,4,28.995913845830295
0,0,0,1,9,0,30,7353,1029,405,5.0,9,7601049.0,0.0,0,5.210526316,11,69.0,1282957875,4,28.63439907128345
0,0,0,1,9,0,30,7353,1029,405,5.0,3,355216.0,8.0,0,16.21052632,11,19.78947368,1282957875,4,28.995913845830295
0,0,0,1,9,0,30,7353,1029,405,5.0,6,748225.0,0.0,0,10.68421053,11,14.0,1282957875,4,28.64659357850624
0,0,0,1,9,0,30,7353,1029,405,5.0,11,3334276.0,0.0,0,30.78947368,11,14.0,1282957875,4,28.995913845830295
0,0,0,1,9,0,30,7353,1029,405,5.0,13,870489.0,0.0,0,7.210526316,11,23.26315789,1282957875,4,28.761496481871774
0,0,0,1,9,0,30,7353,1029,405,5.0,1,285156.0,1.0,0,4.368421053,11,17.47368421,1282957875,4,28.63439907128345
0,0,0,1,9,0,30,7353,1029,405,5.0,8,40525956.0,1.0,0,11.05263158,11,14.0,1282957875,4,28.701524810213286
0,0,0,1,9,0,30,7353,1029,405,5.0,4,2002225.0,0.0,0,9.368421053,11,14.0,1282957875,4,28.732800446762102
0,0,0,1,9,0,30,7353,1029,405,5.0,14,1214404.0,0.0,0,47.15789474,11,32.52631579,1282957875,4,28.995913845830295
0,0,0,1,9,0,30,7353,1029,405,5.0,12,2595321.0,0.0,0,3.526315789,11,38.89473684,1282957875,4,28.63439907128345
0,0,0,1,9,0,30,7353,1029,405,5.0,5,670761.0,0.0,0,1.789473684,11,25.0,1282957875,4,28.63439907128345
0,0,0,1,9,0,30,7353,1029,405,5.0,10,2958400.0,1.0,0,40.36842105,11,25.0,1282957875,4,28.995913845830295
0,0,0,1,9,0,30,7353,1029,405,5.0,2,14776336.0,1.0,0,24.57894737,11,121.1052632,1282957875,4,28.995913845830295
0,0,0,1,9,0,30,7353,1029,405,5.0,7,13823524.0,0.0,0,39.36842105,11,75.36842105,1282957875,4,28.995913845830295
0,0,0,1,0,0,30,9707,1047,1302,4.0,11,998001.0,8.0,0,3.684210526,11,25.57894737,924028965,4,28.63439907128345
0,0,0,1,0,0,30,9707,1047,1302,4.0,12,1628176.0,1.0,0,195.2105263,11,25.57894737,924028965,4,28.995913845830295
0,0,0,1,0,0,30,9707,1047,1302,4.0,1,1292769.0,0.0,0,53.73684211,11,24.42105263,924028965,4,28.995913845830295
0,0,0,1,0,0,30,9707,1047,1302,4.0,10,935089.0,1.0,0,13.68421053,11,23.26315789,924028965,4,28.995913845830295
0,0,0,1,0,0,30,9707,1047,1302,4.0,6,756900.0,0.0,0,10.42105263,11,22.10526316,924028965,4,28.64659357850624
0,0,0,1,0,0,30,9707,1047,1302,4.0,5,872356.0,1.0,0,6.631578947,11,27.31578947,924028965,4,28.76800303650689
0,0,0,1,0,0,30,9707,1047,1302,4.0,13,1562500.0,27.0,0,6.842105263,11,30.78947368,924028965,4,28.761496481871774
0,0,0,1,0,0,30,9707,1047,1302,4.0,8,3276100.0,1.0,0,15.63157895,11,14.0,924028965,4,28.995913845830295
0,0,0,1,0,0,30,9707,1047,1302,4.0,14,1046529.0,0.0,0,38.89473684,11,20.94736842,924028965,4,28.995913845830295
0,0,0,1,0,0,30,9707,1047,1302,4.0,2,1274641.0,0.0,0,12.26315789,11,35.42105263,924028965,4,28.701524810213286
0,0,0,1,0,0,30,9707,1047,1302,4.0,7,3337929.0,1.0,0,33.31578947,11,25.0,924028965,4,28.995913845830295
0,0,0,1,0,0,30,9707,1047,1302,4.0,4,950625.0,0.0,0,70.05263158,11,20.94736842,924028965,4,28.995913845830295
0,0,0,1,0,0,30,9707,1047,1302,4.0,3,1279161.0,0.0,0,8.526315789,11,19.21052632,924028965,4,28.732800446762102
0,0,0,1,0,0,30,9707,1047,1302,4.0,9,1430416.0,1.0,0,63.52631579,11,14.0,924028965,4,28.995913845830295
0,0,0,1,7,0,19,11181,975,405,3.0,7,2280100.0,0.0,0,3.842105263,11,23.26315789,1369028610,4,28.63439907128345
0,0,0,1,7,0,19,11181,975,405,3.0,10,1048576.0,1.0,0,38.89473684,11,22.10526316,1369028610,4,28.995913845830295
0,0,0,1,7,0,19,11181,975,405,3.0,6,1185921.0,1.0,0,11.73684211,11,25.57894737,1369028610,4,28.701524810213286
