manage_shop_indicator,officialstore_indicator,preferred_shop_indicator,crossborder_indicator,shop_category,new_seller_flag,seller_centre_login_L30D,shop_sku_number,shop_follower_number,shop_L180D_order,weighted_shop_rating,kmeans.labels,agglomerative.average.labels,agglomerative.complete.labels,agglomerative.single.labels,agglomerative.ward.labels,meanshift.labels
0.0,0.0,0.0,0.0,4.0,0.0,28.0,1809.0,6642.0,3018.0,4.0,0,0,0,1,1,0
0.0,0.0,1.0,0.0,15.0,0.0,24.0,511.0,5028.0,8517.0,4.0,0,1,2,1,1,0
1.0,1.0,0.0,0.0,20.0,0.0,30.0,37856.0,1421073.0,865672.0,4.0,1,0,0,4,4,8
1.0,0.0,0.0,0.0,8.0,0.0,30.0,2238.0,24708.0,44592.0,4.0,0,1,2,1,1,0
0.0,0.0,0.0,0.0,7.0,0.0,8.0,412.0,1014.0,600.0,4.0,0,0,0,1,1,0
0.0,0.0,0.0,1.0,8.0,0.0,30.0,14525.0,74169.0,35128.0,4.0,0,0,0,1,1,0
0.0,0.0,0.0,0.0,20.0,0.0,29.0,1105.0,1179.0,405.0,5.0,0,2,1,1,1,0
0.0,0.0,1.0,1.0,0.0,0.0,27.0,27604.0,34911.0,187891.0,4.0,0,1,2,1,1,1
0.0,0.0,1.0,1.0,0.0,0.0,30.0,15757.0,13827.0,66367.0,4.0,0,1,2,1,1,0
0.0,0.0,1.0,0.0,20.0,0.0,30.0,1644.0,2709.0,7100.0,5.0,0,1,2,1,1,0
0.0,0.0,0.0,0.0,8.0,0.0,30.0,1127.0,8640.0,18813.0,4.0,0,1,2,1,1,0
0.0,0.0,0.0,1.0,13.0,0.0,26.0,6880.0,47859.0,38690.0,4.0,0,0,0,1,1,0
1.0,0.0,1.0,0.0,6.0,0.0,26.0,632.0,28044.0,64703.0,4.0,0,1,2,1,1,0
0.0,0.0,0.0,0.0,7.0,0.0,30.0,1083.0,10014.0,30786.0,4.0,0,1,2,1,1,0
0.0,0.0,0.0,0.0,3.0,0.0,1.0,434.0,1449.0,782.0,5.0,0,0,0,1,1,0
0.0,0.0,0.0,0.0,3.0,0.0,30.0,1710.0,4545.0,3486.0,5.0,0,1,0,1,1,0
0.0,0.0,0.0,0.0,1.0,0.0,8.0,533.0,2367.0,3642.0,4.0,0,1,2,1,1,0
0.0,0.0,0.0,1.0,20.0,0.0,21.0,599.0,1953.0,4370.0,4.0,0,1,2,1,1,0
1.0,1.0,0.0,0.0,9.0,0.0,30.0,632.0,29709.0,14471.0,4.0,0,0,0,1,1,0
1.0,0.0,1.0,0.0,6.0,0.0,30.0,4944.0,78543.0,329383.0,4.0,4,1,2,3,3,4
0.0,0.0,0.0,0.0,8.0,0.0,29.0,5450.0,12117.0,16291.0,4.0,0,1,0,1,1,0
1.0,0.0,0.0,0.0,16.0,0.0,29.0,2282.0,26613.0,30396.0,4.0,0,1,0,1,1,0
1.0,0.0,0.0,0.0,15.0,0.0,17.0,3041.0,87027.0,25079.0,4.0,0,0,0,1,1,0
0.0,0.0,0.0,1.0,0.0,0.0,18.0,25701.0,11985.0,6645.0,4.0,0,2,4,1,1,0
1.0,0.0,0.0,0.0,4.0,0.0,28.0,4097.0,93234.0,531455.0,4.0,4,1,2,3,3,2
1.0,0.0,0.0,0.0,15.0,0.0,21.0,6242.0,149010.0,151777.0,4.0,0,1,0,1,1,1
0.0,0.0,1.0,1.0,15.0,0.0,29.0,28165.0,44835.0,18566.0,4.0,0,0,1,1,1,0
0.0,0.0,0.0,0.0,1.0,0.0,14.0,2040.0,35895.0,10545.0,4.0,0,0,0,1,1,0
0.0,0.0,0.0,0.0,8.0,0.0,26.0,1413.0,1311.0,405.0,4.0,0,2,1,1,1,0
1.0,1.0,0.0,0.0,5.0,0.0,30.0,1270.0,1652265.0,1757030.0,5.0,3,1,0,2,2,16
1.0,1.0,0.0,0.0,10.0,0.0,30.0,1160.0,12306.0,107538.0,4.0,0,1,2,1,1,0
0.0,0.0,0.0,0.0,5.0,0.0,19.0,918.0,2133.0,405.0,5.0,0,0,1,1,1,0
1.0,0.0,0.0,0.0,6.0,0.0,16.0,1655.0,2526.0,5787.0,4.0,0,1,2,1,1,0
1.0,0.0,0.0,0.0,8.0,0.0,1.0,3822.0,34908.0,11065.0,4.0,0,0,0,1,1,0
0.0,0.0,0.0,0.0,15.0,0.0,29.0,1017.0,3585.0,12586.0,4.0,0,1,2,1,1,0
1.0,1.0,0.0,0.0,6.0,0.0,30.0,3965.0,11655.0,37975.0,4.0,0,1,2,1,1,0
0.0,0.0,0.0,0.0,6.0,0.0,4.0,511.0,1473.0,483.0,5.0,0,0,0,1,1,0
1.0,1.0,0.0,0.0,15.0,0.0,27.0,1809.0,42486.0,91587.0,4.0,0,1,2,1,1,0
0.0,0.0,0.0,0.0,8.0,0.0,28.0,1325.0,2418.0,11689.0,4.0,0,1,2,1,1,0
0.0,0.0,0.0,0.0,7.0,0.0,30.0,313.0,5829.0,7308.0,4.0,0,1,0,1,1,0
