,shop_index,rf_label
0,207225,0
1,308340,0
2,350280,0
3,396360,0
4,412875,0
5,543375,0
6,567315,0
7,589905,0
8,618480,0
9,618840,0
10,670455,0
11,671445,0
12,702630,0
13,753840,0
14,763110,0
15,790695,0
16,846225,0
17,901575,0
18,932400,0
19,1073565,0
20,1138365,0
21,1223775,0
22,1227960,0
23,1255590,0
24,1282680,1
25,1291815,0
26,1411245,0
27,1433520,0
28,1463400,0
29,1474020,0
30,1503945,0
31,1509885,0
32,1541160,0
33,1552050,0
34,1581525,0
35,1638270,0
36,1651815,0
37,1693125,0
38,1867095,1
39,2011005,0
40,2037960,0
41,2082600,0
42,2174400,0
43,2209140,0
44,2241360,0
45,2251035,0
46,2295360,0
47,2307735,0
48,2475630,0
49,2496690,0
50,2509605,0
51,2589075,0
52,2659680,0
53,2689830,0
54,2771820,0
55,2773620,0
56,2789370,0
57,2823345,0
58,2915865,1
59,2926170,0
60,2951460,0
61,2978910,1
62,3024495,0
63,3038175,0
64,3052215,0
65,3083940,0
66,3109365,0
67,3137895,0
68,3189735,0
69,3236265,0
70,3250035,0
71,3250800,0
72,3389310,0
73,3390750,0
74,3402405,0
75,3441510,1
76,3474450,0
77,3545055,0
78,3563235,0
79,3627990,0
80,3656115,0
81,3688965,0
82,3744990,1
83,3801690,0
84,3836970,0
85,3863610,0
86,3910320,0
87,3959910,0
88,4006755,1
89,4040595,0
90,4047840,0
91,4058685,0
92,4178970,0
93,4200795,0
94,4207095,0
95,4269150,0
96,4323420,0
97,4332600,0
98,4563135,0
99,4589775,0
100,4653855,0
101,4678290,0
102,4678515,0
103,4788945,0
104,4791195,0
105,4799160,0
106,4799925,0
107,4811625,0
108,4867830,1
109,4945500,0
110,5006160,0
111,5104890,0
112,5162670,0
113,5410485,0
114,5440950,0
115,5452290,1
116,5461110,0
117,5464710,0
118,5474205,0
119,5536845,0
120,5541975,0
121,5564340,0
122,5600025,0
123,5641020,0
124,5665185,0
125,5819805,0
126,5882220,0
127,5998950,1
128,6044805,0
129,6084720,0
130,6098130,0
131,6101235,0
132,6211575,1
133,6274170,0
134,6314805,0
135,6508935,0
136,6726645,0
137,6778710,0
138,6779655,0
139,6815295,1
140,6842700,0
141,6889635,0
142,6894900,0
143,7077015,0
144,7090875,0
145,7316550,0
146,7352280,0
147,7417440,0
148,7433460,0
149,7436925,0
150,7476930,0
151,7562385,0
152,7657290,0
153,7856505,0
154,7953975,0
155,7963965,0
156,7992720,1
157,8002710,0
158,8099550,0
159,8105355,0
160,8137890,0
161,8242425,0
162,8258130,0
163,8355060,0
164,8458110,0
165,8554095,0
166,8679735,1
167,8801640,0
168,8842680,0
169,8895015,0
170,8999595,0
171,9012195,0
172,9029655,0
173,9054990,0
174,9135720,0
175,9175050,0
176,9175140,0
177,9364905,0
178,9380475,0
179,9514530,0
180,9539325,0
181,9663930,0
182,9883485,0
183,9966420,0
184,10038780,0
185,10100520,0
186,10125180,0
187,10206360,0
188,10212165,0
189,10323270,0
190,10575765,0
191,10584990,0
192,10670580,0
193,10678815,0
194,10717830,0
195,10862685,0
196,10918890,0
197,10963890,0
198,11072205,0
199,11156175,0
200,11221695,0
201,11282625,0
202,11344500,0
203,11383740,1
204,11472975,0
205,11502720,0
206,11505510,0
207,11520675,0
208,11564235,0
209,11626605,0
210,11653020,0
211,11780730,0
212,11894355,0
213,11937285,0
214,11953620,0
215,11998755,0
216,12173895,0
217,12211650,0
218,12350430,0
219,12380220,0
220,12418200,0
221,12431250,0
222,12458835,0
223,12482595,0
224,12511755,0
225,12577995,0
226,12590235,0
227,12651975,0
228,12661875,0
229,12663360,0
230,12678075,0
231,12760335,0
232,12766860,0
233,12836025,0
234,12914145,0
235,12991590,0
236,13022190,0
237,13084380,0
238,13089645,0
239,13178970,0
240,13337595,0
241,13402350,0
242,13457115,0
