shop_index,manage_shop_indicator,officialstore_indicator,preferred_shop_indicator,crossborder_indicator,shop_category,new_seller_flag,seller_centre_login_L30D,shop_sku_number,shop_follower_number,shop_L180D_order,weighted_shop_rating,rf_label,rf_probs
4047840,0,0,0,0,5,0,1,577,1818,951,4,0,0.87
4058685,0,0,0,0,20,0,1,247,1179,405,0,0,0.92
4178970,0,0,0,0,1,0,1,291,1017,405,4.447368421,0,0.83
4200795,0,0,0,0,8,0,1,676,1086,405,5,0,0.94
4207095,0,0,0,0,20,0,1,247,987,405,4.116541353,0,0.92
4269150,0,0,0,0,20,0,1,269,1089,548,5,0,0.93
4323420,0,0,0,0,1,0,1,258,999,405,5,0,0.88
4332600,0,0,0,0,6,0,3,291,1443,405,1,0,0.88
4563135,0,0,0,0,20,0,5,390,12072,509,4,0,0.86
4589775,0,0,0,0,20,0,1,247,987,405,4.255639098,0,0.92
4653855,0,0,0,0,3,0,6,918,2172,405,5,0,0.76
4678290,0,0,0,0,20,0,3,269,1590,509,3,0,0.91
4678515,0,0,0,0,9,0,1,1413,3756,574,4,0,0.75
4788945,0,0,0,0,0,0,1,368,1041,405,4.755639098,0,0.87
4791195,0,0,0,0,6,0,2,324,2766,613,5,0,0.8
4799160,0,0,0,0,0,0,8,247,1029,1198,5,0,0.79
4799925,0,0,0,0,6,0,5,500,1287,444,5,0,0.92
4811625,0,0,0,0,5,0,4,291,4152,1419,1,0,0.89
4867830,1,0,0,0,9,0,30,2623,115413,183224,4,1,0.9
4945500,0,0,0,0,8,0,1,1138,5328,470,4,0,0.85
5006160,0,0,0,0,9,0,2,247,1245,405,4,0,0.95
5104890,0,0,0,0,1,0,1,313,1059,405,4.744360902,0,0.9
5162670,0,0,0,0,9,0,1,258,1053,405,4.966165414,0,0.96
5410485,0,0,0,0,8,0,1,247,1149,405,1,0,0.93
5440950,0,0,0,0,6,0,2,346,1023,691,5,0,0.94
5452290,0,0,0,0,3,0,20,555,1431,2992,5,1,0.89
5461110,0,0,0,0,20,0,3,247,1209,405,4.443609023,0,0.92
5464710,0,0,0,0,20,0,1,247,1059,405,5,0,0.95
5474205,0,0,0,0,20,0,2,247,1146,405,0,0,0.92
5536845,0,0,0,0,9,0,1,247,1038,405,4.879699248,0,0.94
5541975,0,0,0,0,8,0,3,478,981,405,5,0,0.96
5564340,0,0,0,0,3,0,9,390,1170,912,5,0,0.97
5600025,0,0,0,0,9,0,13,401,1620,405,4,0,0.89
5641020,0,0,0,0,20,0,5,3547,13470,1653,2,0,0.75
5665185,0,0,0,0,8,0,6,302,1590,1172,3,0,0.79
5819805,0,0,0,0,20,0,1,247,1044,405,2.04887218,0,0.92
5882220,0,0,0,0,0,0,1,533,1257,405,4,0,0.83
5998950,1,0,0,0,6,0,30,643,2802,138842,4,1,0.9
6044805,0,0,0,0,1,0,1,302,1128,405,5,0,0.91
6084720,0,0,0,0,20,0,2,247,1086,405,4.19924812,0,0.93
6098130,0,0,0,0,20,0,1,247,999,405,4.601503759,0,0.95
6101235,0,0,0,0,20,0,1,269,993,405,4.819548872,0,0.94
6211575,0,0,0,0,6,0,25,995,2691,3395,1,1,0.82
6274170,0,0,0,0,20,1,3,247,1074,405,3.894736842,0,0.9
6314805,0,0,0,0,20,0,1,247,1011,405,4,0,0.93
6508935,0,0,0,0,8,0,1,412,1053,405,5,0,0.97
6726645,0,0,0,0,20,0,2,247,1059,405,2.996240602,0,0.93
6778710,0,0,0,0,14,0,3,511,1158,522,4,0,0.96
6779655,0,0,0,0,20,0,1,291,1062,405,5,0,0.94
6815295,0,0,0,0,0,0,20,456,1527,2108,5,1,0.79
6842700,0,0,0,0,6,0,1,269,1032,405,4.887218045,0,0.94
6889635,0,0,0,0,20,0,1,247,1050,405,4.172932331,0,0.93
6894900,0,0,0,0,6,0,1,258,1047,405,4.872180451,0,0.95
7077015,0,0,0,0,1,0,1,368,1050,405,4,0,0.86
7090875,0,0,0,0,20,0,1,247,1029,405,4.406015038,0,0.93
7316550,0,0,0,0,11,0,12,357,1170,405,5,0,0.98
7352280,0,0,0,0,5,0,1,423,1527,405,2,0,0.91
7417440,0,0,0,0,1,0,7,247,1221,405,5,0,0.95
7433460,0,0,0,0,13,0,5,258,1287,405,5,0,0.92
7436925,0,0,0,0,8,0,1,357,1038,405,5,0,0.94
7476930,0,0,0,0,20,0,1,247,1578,405,4,0,0.9
7562385,0,0,0,0,15,0,2,258,1023,405,4.748120301,0,0.97
7657290,0,0,0,0,8,0,11,247,1188,704,1,0,0.93
7856505,0,0,0,0,8,0,4,434,1242,1289,4,0,0.79
7953975,0,0,0,0,8,0,1,588,1407,561,4,0,0.97
7963965,0,0,0,0,20,1,2,247,1899,405,4.12406015,0,0.78
7992720,0,0,0,0,1,0,30,489,2946,7763,5,1,0.81
8002710,0,0,0,0,20,0,1,247,1005,405,0,0,0.93
8099550,0,0,0,0,0,0,1,291,1023,405,1,0,0.83
